name: WX-Habs
time                           value
----                           -----
2020-12-20T14:05:03.744281007Z 9.48
2020-12-20T14:10:09.325543474Z 9.48
2020-12-20T14:15:04.568716322Z 9.48
2020-12-20T14:20:08.961130417Z 9.48
2020-12-20T14:25:04.200779166Z 9.48
2020-12-20T14:30:10.13212469Z  9.39
2020-12-20T14:35:04.364428223Z 9.39
2020-12-20T14:40:08.734304732Z 9.39
2020-12-20T14:45:03.926719158Z 9.45
2020-12-20T14:50:09.142160935Z 9.45
2020-12-20T14:55:04.482053727Z 9.45
2020-12-20T15:00:09.335681262Z 9.33
2020-12-20T15:05:04.583935954Z 9.33
2020-12-20T15:10:09.091029047Z 9.33
2020-12-20T15:15:04.300077094Z 9.21
2020-12-20T15:20:08.697193296Z 9.21
2020-12-20T15:25:03.961307597Z 9.21
2020-12-20T15:30:05.064279966Z 9.03
2020-12-20T15:35:09.258764122Z 9.03
2020-12-20T15:40:04.621044591Z 9.03
2020-12-20T15:45:08.835568809Z 9.03
2020-12-20T15:50:04.059164482Z 9.03
2020-12-20T15:55:09.286366078Z 9.03
2020-12-20T16:00:05.27576613Z  9.09
2020-12-20T16:05:09.530803245Z 9.09
2020-12-20T16:10:03.92071218Z  9.09
2020-12-20T16:15:09.147373163Z 8.86
2020-12-20T16:20:03.651600629Z 8.86
2020-12-20T16:25:08.878376298Z 8.86
2020-12-20T16:30:04.993978344Z 8.92
2020-12-20T16:35:09.24788021Z  8.92
2020-12-20T16:40:04.56472628Z  8.92
2020-12-20T16:45:03.784130842Z 8.86
2020-12-20T16:50:03.985697626Z 8.86
2020-12-20T16:55:09.239123813Z 8.86
2020-12-20T17:00:05.12934625Z  9.03
2020-12-20T17:05:04.421649666Z 9.03
2020-12-20T17:10:03.979012895Z 9.03
2020-12-20T17:15:09.197635284Z 8.86
2020-12-20T17:20:04.654906599Z 8.86
2020-12-20T17:25:08.928775971Z 8.86
2020-12-20T17:30:04.96919478Z  8.86
2020-12-20T17:35:09.527133682Z 8.86
2020-12-20T17:40:03.92754203Z  8.86
2020-12-20T17:45:09.235708955Z 8.81
2020-12-20T17:50:04.544462934Z 8.81
2020-12-20T17:55:08.850163088Z 8.81
2020-12-20T18:00:04.806973701Z 8.81
2020-12-20T18:05:09.298895395Z 8.81
2020-12-20T18:10:03.980723251Z 8.81
2020-12-20T18:15:09.138594355Z 8.64
2020-12-20T18:20:04.539582225Z 8.64
2020-12-20T18:25:08.752498846Z 8.64
2020-12-20T18:30:04.669530167Z 8.75
2020-12-20T18:35:08.968868131Z 8.75
2020-12-20T18:40:04.385523294Z 8.75
2020-12-20T18:45:09.666052977Z 8.58
2020-12-20T18:50:03.954019462Z 8.58
2020-12-20T18:55:09.264601036Z 8.58
2020-12-20T19:00:05.533060458Z 8.81
2020-12-20T19:05:03.844328045Z 8.81
2020-12-20T19:10:09.443663959Z 8.81
2020-12-20T19:15:03.737793923Z 8.81
2020-12-20T19:20:09.606285528Z 8.81
2020-12-20T19:25:03.905614142Z 8.81
2020-12-20T19:30:09.895672694Z 8.81
2020-12-20T19:35:04.292007564Z 8.81
2020-12-20T19:40:08.71938754Z  8.81
2020-12-20T19:45:04.045080068Z 8.75
2020-12-20T19:50:09.270073232Z 8.75
2020-12-20T19:55:04.515887003Z 8.75
2020-12-20T20:00:09.442488669Z 8.64
2020-12-20T20:05:03.714570624Z 8.64
2020-12-20T20:10:09.354245767Z 8.64
2020-12-20T20:15:04.587853343Z 8.58
2020-12-20T20:20:09.119255246Z 8.58
2020-12-20T20:25:04.438056386Z 8.58
2020-12-20T20:30:09.362006966Z 8.64
2020-12-20T20:35:03.680984531Z 8.64
2020-12-20T20:40:09.192733257Z 8.64
2020-12-20T20:45:04.552729541Z 8.58
2020-12-20T20:50:08.802342905Z 8.58
2020-12-20T20:55:04.013132345Z 8.58
2020-12-20T21:00:04.931276762Z 8.58
2020-12-20T21:05:09.253871699Z 8.58
2020-12-20T21:10:04.642180866Z 8.58
2020-12-20T21:15:03.868682477Z 8.53
2020-12-20T21:20:09.288300357Z 8.53
2020-12-20T21:25:04.544984488Z 8.53
2020-12-20T21:30:04.606263572Z 8.47
2020-12-20T21:35:08.825124254Z 8.47
2020-12-20T21:40:04.201402407Z 8.47
2020-12-20T21:45:09.482052735Z 8.47
2020-12-20T21:50:03.724310484Z 8.47
2020-12-20T21:55:08.934102128Z 8.47
2020-12-20T22:00:04.785561973Z 8.58
2020-12-20T22:05:04.221048654Z 8.58
2020-12-20T22:10:08.866249939Z 8.58
2020-12-20T22:15:04.063223479Z 8.47
2020-12-20T22:20:04.455410293Z 8.47
2020-12-20T22:25:08.675486526Z 8.47
2020-12-20T22:30:04.793332531Z 8.53
2020-12-20T22:35:09.048963627Z 8.53
2020-12-20T22:40:04.373826184Z 8.53
2020-12-20T22:45:04.561694459Z 8.42
2020-12-20T22:50:08.771275625Z 8.42
2020-12-20T22:55:04.055623552Z 8.42
2020-12-20T23:00:09.913156417Z 8.42
2020-12-20T23:05:04.175945025Z 8.42
2020-12-20T23:10:08.759548161Z 8.42
2020-12-20T23:15:03.996543101Z 8.47
2020-12-20T23:20:04.381565553Z 8.47
2020-12-20T23:25:04.568245994Z 8.47
2020-12-20T23:30:04.509326387Z 8.64
2020-12-20T23:35:03.716090735Z 8.64
2020-12-20T23:40:04.044090591Z 8.64
2020-12-20T23:45:09.245557308Z 8.69
2020-12-20T23:50:04.426856807Z 8.69
2020-12-20T23:55:09.615250689Z 8.69
2020-12-21T00:00:12.301551344Z 8.58
2020-12-21T00:05:04.588027648Z 8.58
2020-12-21T00:10:04.129265981Z 8.58
2020-12-21T00:15:09.309172935Z 8.53
2020-12-21T00:20:03.691551771Z 8.53
2020-12-21T00:25:08.890459577Z 8.53
2020-12-21T00:30:04.727144166Z 8.47
2020-12-21T00:35:09.04368928Z  8.47
2020-12-21T00:40:04.406925448Z 8.47
2020-12-21T00:45:04.615987415Z 8.42
2020-12-21T00:50:03.808555264Z 8.42
2020-12-21T00:55:09.065449772Z 8.42
2020-12-21T01:00:05.13906925Z  8.42
2020-12-21T01:05:04.343983037Z 8.42
2020-12-21T01:10:03.92161322Z  8.42
2020-12-21T01:15:09.094537456Z 8.58
2020-12-21T01:20:04.501631067Z 8.58
2020-12-21T01:25:08.670946431Z 8.58
2020-12-21T01:30:04.744176478Z 8.53
2020-12-21T01:35:09.042985885Z 8.53
2020-12-21T01:40:04.397440136Z 8.53
2020-12-21T01:45:04.616299655Z 8.58
2020-12-21T01:50:08.796280532Z 8.58
2020-12-21T01:55:04.016348596Z 8.58
2020-12-21T02:00:05.099576004Z 8.53
2020-12-21T02:05:09.276355517Z 8.53
2020-12-21T02:10:03.635007442Z 8.53
2020-12-21T02:15:08.847272682Z 8.42
2020-12-21T02:20:04.240513927Z 8.42
2020-12-21T02:25:09.415319654Z 8.42
2020-12-21T02:30:04.304183848Z 8.47
2020-12-21T02:35:08.686447542Z 8.47
2020-12-21T02:40:04.041337976Z 8.47
2020-12-21T02:45:09.186352324Z 8.42
2020-12-21T02:50:04.416530844Z 8.42
2020-12-21T02:55:08.633720228Z 8.42
2020-12-21T03:00:04.716840192Z 8.47
2020-12-21T03:05:04.146356223Z 8.47
2020-12-21T03:10:08.637806856Z 8.47
2020-12-21T03:15:03.853916567Z 8.42
2020-12-21T03:20:04.309592797Z 8.42
2020-12-21T03:25:09.509553504Z 8.42
2020-12-21T03:30:04.394605904Z 8.53
2020-12-21T03:35:09.635042634Z 8.53
2020-12-21T03:40:04.018844253Z 8.53
2020-12-21T03:45:04.213801496Z 8.42
2020-12-21T03:50:04.436967657Z 8.42
2020-12-21T03:55:04.560436005Z 8.42
2020-12-21T04:00:09.408544032Z 8.26
2020-12-21T04:05:03.661457157Z 8.26
2020-12-21T04:10:09.297091991Z 8.26
2020-12-21T04:15:04.550045694Z 8.2
2020-12-21T04:20:08.964656333Z 8.2
2020-12-21T04:25:04.191854958Z 8.2
2020-12-21T04:30:10.018307438Z 8.15
2020-12-21T04:35:04.270858355Z 8.15
2020-12-21T04:40:08.627746691Z 8.15
2020-12-21T04:45:03.814967807Z 8.2
2020-12-21T04:50:09.061203903Z 8.2
2020-12-21T04:55:04.254064956Z 8.2
2020-12-21T05:00:10.125330164Z 8.37
2020-12-21T05:05:04.376996772Z 8.37
2020-12-21T05:10:08.95088565Z  8.37
2020-12-21T05:15:04.163598492Z 8.37
2020-12-21T05:20:09.559123322Z 8.37
2020-12-21T05:25:03.757183612Z 8.37
2020-12-21T05:30:09.628145204Z 8.1
2020-12-21T05:35:03.803599556Z 8.1
2020-12-21T05:40:09.149976345Z 8.1
2020-12-21T05:45:04.366894525Z 8.05
2020-12-21T05:50:09.567813076Z 8.05
2020-12-21T05:55:03.778253676Z 8.05
2020-12-21T06:00:09.641346291Z 8.2
2020-12-21T06:05:03.894061861Z 8.2
2020-12-21T06:10:09.667043598Z 8.2
2020-12-21T06:15:04.07555854Z  8.26
2020-12-21T06:20:04.459712971Z 8.26
2020-12-21T06:25:09.53277312Z  8.26
2020-12-21T06:30:04.387741641Z 8.42
2020-12-21T06:35:03.868218927Z 8.42
2020-12-21T06:40:10.08692995Z  8.42
2020-12-21T06:45:04.444276349Z 8.47
2020-12-21T06:50:09.636873998Z 8.47
2020-12-21T06:55:03.850898605Z 8.47
2020-12-21T07:00:04.714251507Z 8.37
2020-12-21T07:05:04.116351305Z 8.37
2020-12-21T07:10:03.709729353Z 8.37
2020-12-21T07:15:08.928354637Z 8.15
2020-12-21T07:20:04.364991906Z 8.15
2020-12-21T07:25:09.466340903Z 8.15
2020-12-21T07:30:04.610613726Z 8.15
2020-12-21T07:35:08.817511743Z 8.15
2020-12-21T07:40:04.17099977Z  8.15
2020-12-21T07:45:04.363603852Z 8.2
2020-12-21T07:50:09.574161868Z 8.2
2020-12-21T07:55:03.815488582Z 8.2
2020-12-21T08:00:04.697005415Z 8.31
2020-12-21T08:05:09.149219451Z 8.31
2020-12-21T08:10:04.547877217Z 8.31
2020-12-21T08:15:03.750661426Z 8.42
2020-12-21T08:20:09.177854228Z 8.42
2020-12-21T08:25:04.405802611Z 8.42
2020-12-21T08:30:10.282514625Z 8.37
2020-12-21T08:35:04.548109976Z 8.37
2020-12-21T08:40:08.871349241Z 8.37
2020-12-21T08:45:04.035488454Z 8.37
2020-12-21T08:50:09.234998362Z 8.37
2020-12-21T08:55:04.450660168Z 8.37
2020-12-21T09:00:09.320150852Z 8.58
2020-12-21T09:05:04.522908333Z 8.58
2020-12-21T09:10:04.009443351Z 8.58
2020-12-21T09:15:09.175447015Z 8.47
2020-12-21T09:20:04.587489354Z 8.47
2020-12-21T09:25:03.830038636Z 8.47
2020-12-21T09:30:04.940719289Z 8.58
2020-12-21T09:35:09.204675352Z 8.58
2020-12-21T09:40:04.630716843Z 8.58
2020-12-21T09:45:08.854754355Z 8.47
2020-12-21T09:50:04.044717238Z 8.47
2020-12-21T09:55:09.298664448Z 8.47
2020-12-21T10:00:05.472394293Z 8.58
2020-12-21T10:05:03.655999664Z 8.58
2020-12-21T10:10:09.085878793Z 8.58
2020-12-21T10:15:04.2865247Z   8.53
2020-12-21T10:20:03.651265131Z 8.53
2020-12-21T10:25:08.855755649Z 8.53
2020-12-21T10:30:04.759660309Z 8.69
2020-12-21T10:35:04.043045371Z 8.69
2020-12-21T10:40:09.381344942Z 8.69
2020-12-21T10:45:04.788935627Z 8.64
2020-12-21T10:50:09.002062033Z 8.64
2020-12-21T10:55:04.15759715Z  8.64
2020-12-21T11:00:10.089881531Z 8.64
2020-12-21T11:05:04.368253944Z 8.64
2020-12-21T11:10:08.842914005Z 8.64
2020-12-21T11:15:04.055735017Z 8.64
2020-12-21T11:20:09.408602384Z 8.64
2020-12-21T11:25:03.662669481Z 8.64
2020-12-21T11:30:09.538176921Z 8.81
2020-12-21T11:35:03.754693021Z 8.81
2020-12-21T11:40:09.11950927Z  8.81
2020-12-21T11:45:04.330568526Z 8.92
2020-12-21T11:50:09.498821846Z 8.92
2020-12-21T11:55:03.691508091Z 8.92
2020-12-21T12:00:09.559686914Z 8.92
2020-12-21T12:05:03.790008808Z 8.92
2020-12-21T12:10:04.327352181Z 8.92
2020-12-21T12:15:09.55422529Z  8.98
2020-12-21T12:20:03.967488738Z 8.98
2020-12-21T12:25:09.172056985Z 8.98
2020-12-21T12:30:05.368657529Z 9.09
2020-12-21T12:35:09.571727963Z 9.09
2020-12-21T12:40:03.904500428Z 9.09
2020-12-21T12:45:09.09846954Z  9.01
2020-12-21T12:50:04.296564823Z 9.01
2020-12-21T12:55:04.532861166Z 9.01
2020-12-21T13:00:09.375768467Z 8.93
2020-12-21T13:05:04.61425098Z  8.93
2020-12-21T13:10:09.151069971Z 8.93
2020-12-21T13:15:04.372981815Z 8.87
2020-12-21T13:20:03.74124366Z  8.87
2020-12-21T13:25:08.951402388Z 8.87
2020-12-21T13:30:04.840148427Z 8.78
2020-12-21T13:35:04.244222059Z 8.78
2020-12-21T13:40:09.594376899Z 8.78
2020-12-21T13:45:03.799892931Z 8.84
2020-12-21T13:50:09.062257477Z 8.84
2020-12-21T13:55:04.248410544Z 8.84
2020-12-21T14:00:10.165740687Z 8.78
2020-12-21T14:05:04.37759475Z  8.78
2020-12-21T14:10:08.838698812Z 8.78
2020-12-21T14:15:04.075425379Z 8.89
2020-12-21T14:20:04.611197204Z 8.89
2020-12-21T14:25:08.862285008Z 8.89
2020-12-21T14:30:04.986878015Z 8.75
2020-12-21T14:35:09.18549434Z  8.75
2020-12-21T14:40:04.60884972Z  8.75
2020-12-21T14:45:08.803900861Z 8.79
2020-12-21T14:50:04.080406645Z 8.79
2020-12-21T14:55:09.333113912Z 8.79
